Name;Age;Class;
EDGE, Mr Frederick William ;39 ;Victualling Crew ;
EDVARDSSON, Mr Gustaf Hjalmar ;18 ;3rd Class Passenger ;
G. Edvardsson
EDWARDS, Mr Charles Essex ;39 ;Victualling Crew ;
EGG, Mr William Henry ;48 ;Victualling Crew ;
EITEMILLER, Mr George Floyd ;25 ;2nd Class Passenger ;
EKLUND, Mr Hans Linus ;16 ;3rd Class Passenger ;
H. Eklund
EKSTRöM, Mr Amandus ;45 ;3rd Class Passenger ;
ELIAS, Mr Joseph jr. ;15 ;3rd Class Passenger ;
ELIAS NASRALLAH, Mr Tannous ;22 ;3rd Class Passenger ;
ELLIOTT, Mr Everett Edward ;23 ;Engineering Crew ;
ELSBURY, Mr William James ;48 ;3rd Class Passenger ;
W. Elsbury
ENANDER, Mr Ingvar ;21 ;2nd Class Passenger ;
ENNIS, Mr Walter ;34 ;Victualling Crew ;
W. Ennis
ERVINE, Mr Albert George ;18 ;Engineering Crew ;
A. Ervine
ESTANISLAU, Mr Manuel Gonçalves ;37 ;3rd Class Passenger ;
EVANS, Mr George Richard ;27 ;Victualling Crew ;
EVANS, Mr William Thomas ;33 ;Engineering Crew ;
EVANS, Miss Edith Corse ;36 ;1st Class Passenger ;
EVERETT, Mr Thomas James ;38 ;3rd Class Passenger ;
FAHLSTRøM, Mr Arne Joma ;18 ;2nd Class Passenger ;
FAIRALL, Mr Henry Charles ;38 ;Victualling Crew ;
FARDON, Mr Charles Richard ;46 ;3rd Class Passenger ;
FARENDEN, Mr Ernest John ;22 ;Victualling Crew ;
FARQUHARSON, Mr William Edward ;39 ;Engineering Crew ;
W. Farquharson
FARRELL, Mr James ;26 ;3rd Class Passenger ;
FARTHING, Mr John ;49 ;1st Class Passenger
Servant ;
FAUNTHORPE, Mr Harry Bartram ;32 ;2nd Class Passenger ;
FAY, Mr Thomas Joseph ;30 ;Engineering Crew ;
T. Fay
FEI, Sig. Carlo ;19 ;Restaurant Staff ;
FELLOWES, Mr Alfred James ;28 ;Victualling Crew ;
FELTHAM, Mr George William ;41 ;Victualling Crew ;
FERRARY, Mr Antonio ;33 ;Engineering Crew ;
A. Ferrary
FERRIS, Mr William ;39 ;Engineering Crew ;
FILLBROOK, Mr Joseph Charles ;18 ;2nd Class Passenger ;
FINCH, Mr Henry Herman ;19 ;Victualling Crew ;
FIORAVANTE, Sig. Giuseppe Bertoldo ;23 ;Restaurant Staff ;
FISCHER, Mr Eberhard Thelander ;18 ;3rd Class Passenger ;
FITZPATRICK, Mr Hugh Joseph ;29 ;Engineering Crew ;
H. Fitzpatrick
FLEMING, Miss Honor ;22 ;3rd Class Passenger ;
H. Fleming
FLETCHER, Mr Percy William ;25 ;Victualling Crew ;
FLYNN, Mr John ;48 ;3rd Class Passenger ;
FLYNN, Mr James ;28 ;3rd Class Passenger ;
FOLEY, Mr William ;20 ;3rd Class Passenger ;
FOLEY, Mr Joseph ;19 ;3rd Class Passenger ;
FORD, Mrs Margaret Ann Watson ;54 ;3rd Class Passenger ;
FORD, Mr Arthur ;23 ;3rd Class Passenger ;
FORD, Mr Thomas ;33 ;Engineering Crew ;
T. Ford
FORD, Miss Robina Maggie ;7 ;3rd Class Passenger ;
FORD, Mr H. ;22 ;Engineering Crew ;
FORD, Mr William Neal Thomas ;14 ;3rd Class Passenger ;
FORD, Mr Francis ;44 ;Victualling Crew ;
FORD, Mr Edward Watson ;18 ;3rd Class Passenger ;
FORD, Mr Ernest ;33 ;Victualling Crew ;
FORD, Miss Dollina Margaret ;20 ;3rd Class Passenger ;
FOREMAN, Mr Benjamin Laventall ;30 ;1st Class Passenger ;
FORTUNE, Mr Charles Alexander ;19 ;1st Class Passenger ;
C. Fortune
FORTUNE, Mr Mark ;64 ;1st Class Passenger ;
M. Fortune
FOSTER, Mr Alfred Charles ;37 ;Engineering Crew ;
FOX, Mr Stanley Harrington ;38 ;2nd Class Passenger ;
FOX, Mr Patrick ;28 ;3rd Class Passenger ;
FOX, Mr William Thomas ;27 ;Victualling Crew ;
W. Fox
FRANKLIN, Mr Thomas Parnham ;37 ;1st Class Passenger ;
FRANKLIN, Mr Alan Vincent ;28 ;Victualling Crew ;
FRASER, Mr James ;30 ;Engineering Crew ;
J. Fraser
FRASER, Mr J. ;30 ;Engineering Crew ;
FREEMAN, Mr Ernest Edward Samuel ;45 ;Victualling Crew ;
E. Freeman
FROST, Mr Anthony Wood ;39 ;2nd Class Passenger
H&W Guarantee Group ;
A. Frost
FRY, Mr Richard ;39 ;1st Class Passenger
Servant ;
FUNK, Miss Annie Clemmer ;38 ;2nd Class Passenger ;
A. Funk
FUTRELLE, Mr Jacques Heath ;37 ;1st Class Passenger ;
J. Futrelle
FYNNEY, Mr Joseph J. ;36 ;2nd Class Passenger ;
J. Fynney
GALE, Mr Shadrach ;33 ;2nd Class Passenger ;
GALE, Mr Harry ;38 ;2nd Class Passenger ;
GALLAGHER, Mr Martin ;29 ;3rd Class Passenger ;
GARFIRTH, Mr John ;23 ;3rd Class Passenger ;
J. Garfirth
GASKELL, Mr William Alfred ;19 ;2nd Class Passenger ;
GATTI, Sig. Gaspare Antonio Pietro ;37 ;Restaurant Staff ;
G. Gatti
GAVEY, Mr Laurence ;26 ;2nd Class Passenger ;
GEDDES, Mr Richard Charles ;32 ;Victualling Crew ;
GEE, Mr Arthur H. ;47 ;1st Class Passenger ;
A. Gee
GEER, Mr Alfred Emest ;26 ;Engineering Crew
Substitute Crew ;
GHEORGHEFF, Mr Stanio ;;3rd Class Passenger ;
GIGLIO, Mr Victor Gaitan Andrea ;23 ;1st Class Passenger
Servant ;
V. Giglio
GILARDINO, Sig. Vincenzo Pio ;31 ;Restaurant Staff ;
V. Gilardino
GILBERT, Mr William ;46 ;2nd Class Passenger ;
W. Gilbert
GILES, Mr Edgar ;19 ;2nd Class Passenger ;
GILES, Mr John Robert ;32 ;Victualling Crew ;
GILES, Mr Ralph ;24 ;2nd Class Passenger ;
R. Giles
GILES, Mr Frederick Edward ;21 ;2nd Class Passenger ;
GILINSKI, Mr Eliezer ;23 ;3rd Class Passenger ;
E. Gilinski
GILL, Mr Patrick ;38 ;Victualling Crew ;
GILL, Mr Joseph Stanley ;38 ;Victualling Crew ;
GILL, Mr John ;24 ;2nd Class Passenger ;
GILLESPIE, Mr William Henry ;31 ;2nd Class Passenger ;
GIVARD, Mr Hans Kristensen ;30 ;2nd Class Passenger ;
H. Givard
GODWIN, Mr Frederick Charles ;36 ;Engineering Crew ;
GOLDER, Mr Martin William ;35 ;Engineering Crew ;
GOLDSCHMIDT, Mr George B. ;71 ;1st Class Passenger ;
GOLDSMITH, Mr Nathan ;41 ;3rd Class Passenger ;
GOLDSMITH, Mr Frank John ;33 ;3rd Class Passenger ;
GOLLOP, Mr Percival Salisbury ;30 ;Victualling Crew ;
GOODWIN, Master Harold Victor ;9 ;3rd Class Passenger ;
H. Goodwin
GOODWIN, Miss Jessie Allis Mary ;12 ;3rd Class Passenger ;
J. Goodwin
GOODWIN, Master William Frederick ;13 ;3rd Class Passenger ;
W. Goodwin
GOODWIN, Mr Charles Edward ;14 ;3rd Class Passenger ;
C. Goodwin
GOODWIN, Miss Lillian Augusta ;16 ;3rd Class Passenger ;
L. Goodwin
GOODWIN, Mrs Augusta ;43 ;3rd Class Passenger ;
A. Goodwin
GOODWIN, Master Sidney Leslie ;1 ;3rd Class Passenger ;
S. Goodwin
GOODWIN, Mr Frederick Joseph ;42 ;3rd Class Passenger ;
F. Goodwin
GORDON, Mr J. ;29 ;Engineering Crew
Substitute Crew ;
GOREE, Mr Frank ;41 ;Engineering Crew ;
GOSHAWK, Mr Alfred James ;40 ;Victualling Crew ;
GOSLING, Mr Bertram James ;22 ;Engineering Crew ;
GOSLING, Mr Frank Henry ;25 ;Engineering Crew ;
GRADIDGE, Mr Ernest Edward ;22 ;Engineering Crew ;
GRAHAM, Mr George Edward ;38 ;1st Class Passenger ;
G. Graham
GREEN, Mr George ;20 ;Engineering Crew ;
GREEN, Mr George ;41 ;3rd Class Passenger ;
G. Green
GREENBERG, Mr Samuel ;51 ;2nd Class Passenger ;
GREGORY, Mr David ;43 ;Engineering Crew ;
GROSCLAUDE, Mr Gérald ;24 ;Restaurant Staff ;
GRøNNESTAD, Mr Daniel Danielsen ;32 ;3rd Class Passenger ;
GUEST, Mr Charles Robert ;25 ;3rd Class Passenger ;
GUGGENHEIM, Mr Benjamin ;46 ;1st Class Passenger ;
B. Guggenheim
GUMERY, Mr George ;24 ;Engineering Crew ;
GUNN, Mr Joseph Alfred ;30 ;Victualling Crew ;
GUSTAFSSON, Mr Alfred Ossian ;19 ;3rd Class Passenger ;
GUSTAFSSON, Mr Karl Gideon ;19 ;3rd Class Passenger ;
GUSTAFSSON, Mr Johan Birger ;28 ;3rd Class Passenger ;
GUSTAFSSON, Mr Anders Vilhelm ;37 ;3rd Class Passenger ;
GWINN, Mr William Logan ;37 ;Victualling Crew
Postal Clerk ;
W. Gwinn
HAAS, Miss Aloisia ;24 ;3rd Class Passenger ;
HAGLAND, Mr Konrad Mathias Reiersen ;19 ;3rd Class Passenger ;
HAGLAND, Mr Ingvald Olai Olsen ;28 ;3rd Class Passenger ;
HAKKARAINEN, Mr Pekka Pietari ;28 ;3rd Class Passenger ;
HALE, Mr Reginald ;31 ;2nd Class Passenger ;
HALL, Mr J. ;32 ;Engineering Crew ;
HALL, Mr Frank Alfred James ;40 ;Victualling Crew ;
HALLETT, Mr George Alexander ;23 ;Engineering Crew ;
HAMBLYN, Mr Ernest William ;47 ;Victualling Crew ;
E. Hamblyn
HAMILTON, Mr Ernest ;25 ;Victualling Crew ;
HAMPE, Mr Léon Jérome ;19 ;3rd Class Passenger ;
HANDS, Mr Bernard ;54 ;Engineering Crew ;
HANNA, Mr Boulos ;18 ;3rd Class Passenger ;
ḤANNā AL-HāJ, Mr Mansūr ;35 ;3rd Class Passenger ;
HANNAM, Mr George ;30 ;Engineering Crew ;
HANSEN, Mr Henrik Juul ;26 ;3rd Class Passenger ;
HANSEN, Mr Henry Damsgaard ;20 ;3rd Class Passenger ;
HANSEN, Mr Claus Peter ;41 ;3rd Class Passenger ;
HARBECK, Mr William H. ;45 ;2nd Class Passenger ;
W. Harbeck
HARDING, Mr Alfred John ;21 ;Victualling Crew ;
HARGADON, Miss Catherine ;17 ;3rd Class Passenger ;
HARKNETT, Miss Alice Phoebe ;21 ;3rd Class Passenger ;
HARPER, Rev. John ;39 ;2nd Class Passenger ;
J. Harper
HARRINGTON, Mr Charles Henry ;37 ;1st Class Passenger
Servant ;
HARRIS, Mr Edward John ;29 ;Engineering Crew ;
HARRIS, Mr Edward Matthew ;17 ;Victualling Crew ;
HARRIS, Mr Amos ;24 ;Engineering Crew ;
HARRIS, Mr Walter ;45 ;2nd Class Passenger ;
HARRIS, Mr Clifford Henry ;17 ;Victualling Crew ;
C. Harris
HARRIS, Mr Charles William ;19 ;Victualling Crew ;
C. Harris
HARRIS, Mr Henry Birkhardt ;45 ;1st Class Passenger ;
H. Harris
HARRISON, Mr Norman E. ;38 ;Engineering Crew ;
N. Harrison
HARRISON, Mr William Henry ;46 ;1st Class Passenger
Servant ;
HART, Mr James ;54 ;Engineering Crew ;
J. Hart
HART, Mr Benjamin ;47 ;2nd Class Passenger ;
HART, Mr Henry ;29 ;3rd Class Passenger ;
HARTLEY, Mr Wallace Henry ;33 ;2nd Class Passenger
Musician ;
W. Hartley
HARVEY, Mr Herbert Gifford ;34 ;Engineering Crew ;
H. Harvey
HATCH, Mr Hugh ;21 ;Victualling Crew ;
HAWKESWORTH, Mr James ;52 ;Victualling Crew ;
HAWKESWORTH, Mr William Walter ;43 ;Victualling Crew ;
HAYS, Mr Charles Melville ;55 ;1st Class Passenger ;
C. Hays
HAYTER, Mr Arthur ;44 ;Victualling Crew ;
A. Hayter
HEAD, Mr Christopher ;42 ;1st Class Passenger ;
C. Head
HEAD, Mr Alfred ;24 ;Engineering Crew ;
HEGARTY, Miss Hanora ;20 ;3rd Class Passenger ;
HEINEN, Mr Joseph Dominichus ;30 ;Victualling Crew ;
HEININEN, Miss Wendla Maria ;23 ;3rd Class Passenger ;
HENDEKOVIć, Mr Ignjac ;30 ;3rd Class Passenger ;
HENDY, Mr Edward Martin ;40 ;Victualling Crew ;
E. Hendy
HENRIKSSON, Miss Jenny Lovisa ;28 ;3rd Class Passenger ;
HENRY, Miss Bridget Delia ;21 ;3rd Class Passenger ;
HENSFORD, Mr Herbert George Ernest ;26 ;Victualling Crew ;
HERMAN, Mr Samuel ;50 ;2nd Class Passenger ;
HESKETH, Mr John Henry ;33 ;Engineering Crew ;
J. Hesketh
HESLIN, Mr James ;45 ;Engineering Crew ;
HEWITT, Mr Thomas ;37 ;Victualling Crew ;
HICKMAN, Mr Stanley George ;21 ;2nd Class Passenger ;
S. Hickman
HICKMAN, Mr Lewis ;30 ;2nd Class Passenger ;
L. Hickman
HICKMAN, Mr Leonard Mark ;24 ;2nd Class Passenger ;
L. Hickman
HILL, Mr James ;25 ;Engineering Crew ;
HILL, Mr James Colston ;43 ;Victualling Crew ;
HILL, Mr Henry Parkinson ;37 ;Victualling Crew ;
HILLIARD, Mr Herbert Henry ;44 ;1st Class Passenger ;
HILTUNEN, Miss Marta ;18 ;2nd Class Passenger ;
HINCKLEY, Mr George Herbert ;40 ;Victualling Crew ;
HINE, Mr William Edward ;36 ;Victualling Crew ;
HINTON, Mr Stephen William ;30 ;Engineering Crew ;
HIPKINS, Mr William Edward ;55 ;1st Class Passenger ;
HISCOCK, Mr Sydney George ;25 ;Victualling Crew ;
HOARE, Mr Leonard James ;19 ;Victualling Crew ;
HOCKING, Mr Samuel James Metcalfe ;36 ;2nd Class Passenger ;
HOCKING, Mr Richard George ;24 ;2nd Class Passenger ;
HODGE, Mr Charley ;29 ;Engineering Crew ;
C. Hodge
HODGES, Mr W. ;26 ;Engineering Crew ;
HODGES, Mr Henry Price ;50 ;2nd Class Passenger ;
H. Hodges
HODGKINSON, Mr Leonard ;46 ;Engineering Crew ;
L. Hodgkinson
HOGG, Mr Charles William ;43 ;Victualling Crew ;
HOGUE, Mr E. ;22 ;Victualling Crew ;
HOLD, Mr Stephen ;44 ;2nd Class Passenger ;
HOLLAND, Mr Thomas ;28 ;Victualling Crew ;
HOLLOWAY, Mr Sidney ;24 ;Victualling Crew ;
HOLM, Mr John Fredrik Alexander ;43 ;3rd Class Passenger ;
HOLMAN, Mr Harry ;29 ;Deck Crew ;
H. Holman
HOLTHEN, Mr Johan Martin ;18 ;3rd Class Passenger ;
HOLVERSON, Mr Alexander Oskar ;42 ;1st Class Passenger ;
A. Holverson
HOOD, Mr Ambrose Jr ;21 ;2nd Class Passenger ;
HOPGOOD, Mr Roland John C. ;29 ;Engineering Crew ;
HOPKINS, Mr Frederick William ;15 ;Victualling Crew ;
HORGAN, Mr John ;22 ;3rd Class Passenger ;
HOSGOOD, Mr Richard William ;23 ;Engineering Crew
Substitute Crew ;
HOSKING, Mr George Fox ;36 ;Engineering Crew ;
G. Hosking
HOUSE, Mr William John ;38 ;Victualling Crew ;
HOWARD, Mrs Ellen Truelove ;61 ;2nd Class Passenger ;
E. Howard
HOWARD, Mr Benjamin ;63 ;2nd Class Passenger ;
B. Howard
HOWELL, Mr Arthur Albert ;31 ;Victualling Crew ;
HOYT, Mr William Fisher ;43 ;1st Class Passenger ;
W. Hoyt
HUGHES, Mr William Thomas ;34 ;Victualling Crew ;
W. Hughes
HUMBLEN, Mr Adolf Mathias Nicolai Olsen ;42 ;3rd Class Passenger ;
HUMBY, Mr Frederick ;17 ;Victualling Crew ;
HUME, Mr John Law ;21 ;2nd Class Passenger
Musician ;
J. Hume
HUMPHREYS, Mr Humphrey ;32 ;Victualling Crew ;
HUNT, Mr Tom ;27 ;Engineering Crew ;
T. Hunt
HUNT, Mr George Henry ;34 ;2nd Class Passenger ;
G. Hunt
HURST, Mr Charles John ;40 ;Engineering Crew ;
C. Hurst
HUTCHINSON, Mr John Hall ;28 ;Deck Crew ;
HUTCHINSON, Mr James ;31 ;Victualling Crew ;
IBRāHīM, Mr Husayn Mahmūd Husayn ;11 ;3rd Class Passenger ;
IBRāHīM-SHAWAH, Mr Yūsuf Hānī ;33 ;3rd Class Passenger ;
IDE, Mr Harry John ;31 ;Victualling Crew ;
ILIEFF, Mr Ylio ;32 ;3rd Class Passenger ;
ILMAKANGAS, Miss Pieta Sofia ;25 ;3rd Class Passenger ;
ILMAKANGAS, Miss Ida Livija ;17 ;3rd Class Passenger ;
INGRAM, Mr George ;19 ;Engineering Crew ;
INGROUILLE, Mr Henry ;21 ;Victualling Crew ;
INGS, Mr William Ernest ;20 ;Victualling Crew ;
INSTANCE, Mr Thomas ;31 ;Engineering Crew ;
ISHAM, Miss Ann Elizabeth ;50 ;1st Class Passenger ;
A. Isham
IVANOFF, Mr Kanio ;20 ;3rd Class Passenger ;
JABBUR (ZABOUR), Miss Hileni ;16 ;3rd Class Passenger ;
JABBUR (ZABOUR), Miss Thamine ;19 ;3rd Class Passenger ;
JACKOPSON, Mr John Henry ;30 ;Engineering Crew ;
JACKSON, Mr Cecil ;22 ;Victualling Crew ;
C. Jackson
JACOBSOHN, Mr Sidney Samuel ;42 ;2nd Class Passenger ;
JAGO, Mr Joseph ;59 ;Engineering Crew ;
JAILLET, Mr Henri Marie ;38 ;Restaurant Staff ;
JAMES, Mr Thomas ;27 ;Engineering Crew ;
JANAWAY, Mr William Frank ;35 ;Victualling Crew ;
W. Janaway
JANIN, Mr Claude Marie ;29 ;Restaurant Staff ;
JARDIM, Mr José Neto ;21 ;3rd Class Passenger ;
JARVIS, Mr Denzil John ;46 ;2nd Class Passenger ;
D. Jarvis
JEFFERY, Mr William Alfred ;28 ;Restaurant Staff ;
JEFFERYS, Mr Ernest Wilfred ;21 ;2nd Class Passenger ;
JEFFERYS, Mr Clifford Thomas ;24 ;2nd Class Passenger ;
JENKIN, Mr Stephen Curnow ;32 ;2nd Class Passenger ;
JENNER, Mr Thomas Henry (Harry) ;55 ;Victualling Crew ;
JENSEN, Mr Charles Valdemar ;25 ;Victualling Crew ;
JENSEN, Mr Niels Rasmus ;48 ;3rd Class Passenger ;
N. Jensen
JENSEN, Mr Svend Lauritz ;17 ;3rd Class Passenger ;
S. Jensen
JENSEN, Mr Hans Peder ;20 ;3rd Class Passenger ;
H. Jensen
JOAS, Mr N. ;39 ;Engineering Crew ;
JOHANSON, Mr Jakob Alfred ;34 ;3rd Class Passenger ;
JOHANSSON, Mr Erik ;22 ;3rd Class Passenger ;
JOHANSSON, Mr Nils ;30 ;3rd Class Passenger ;
N. Johansson
JOHANSSON, Mr Karl Johan ;31 ;3rd Class Passenger ;
JOHANSSON, Mr Gustaf Joel ;33 ;3rd Class Passenger ;
G. Johansson
JOHNSON, Mr Malkolm Joackim ;33 ;3rd Class Passenger ;
JOHNSON, Mr William Cahoone Jr. ;19 ;3rd Class Passenger ;
JOHNSON, Mr August ;49 ;3rd Class Passenger ;
JOHNSTON, Mr Andrew Emslie ;35 ;3rd Class Passenger ;
JOHNSTON, Miss Catherine Nellie ;7 ;3rd Class Passenger ;
JOHNSTON, Master William Andrew ;8 ;3rd Class Passenger ;
JOHNSTON, Mrs Eliza ;36 ;3rd Class Passenger ;
JONES, Mr Charles Cresson ;46 ;1st Class Passenger ;
JONES, Mr Victor Reginald ;21 ;Victualling Crew ;
JONES, Mr Harry Owen Glendower ;36 ;Victualling Crew ;
JONES, Mr Arthur Ernest ;37 ;Victualling Crew ;
JONES, Mr Albert Hugh Brabner ;17 ;Victualling Crew ;
JONKOFF, Mr Lalio ;23 ;3rd Class Passenger ;
JöNSSON, Mr Nils Hilding ;27 ;3rd Class Passenger ;
JOSEPH (SHAHIN), Mr Elias ;39 ;3rd Class Passenger ;
JOUANNAULT, Mr Georges Jules ;24 ;Restaurant Staff ;
JUKES, Mr Henry James ;38 ;Engineering Crew ;
H. Jukes
JULIAN, Mr Henry Forbes ;50 ;1st Class Passenger ;
H. Julian
JUPE, Mr Boykett Herbert ;30 ;Engineering Crew ;
B. Jupe
JUSSILA, Miss Mari Aina ;21 ;3rd Class Passenger ;
JUSSILA, Miss Katriina ;20 ;3rd Class Passenger ;
KALLIO, Mr Nikolai Erland ;17 ;3rd Class Passenger ;
KALVIK, Mr Johannes Halvorsen ;21 ;3rd Class Passenger ;
KANTOR, Mr Sinai ;34 ;2nd Class Passenger ;
KARAJIC, Mr Milan ;30 ;3rd Class Passenger ;
KARLSSON, Mr Nils August ;22 ;3rd Class Passenger ;
KARLSSON, Mr Julius Konrad Eugen ;33 ;3rd Class Passenger ;
KARNES, Mrs Claire ;22 ;2nd Class Passenger ;
KATAVELOS, Mr Vasilios G. ;19 ;3rd Class Passenger ;
KEANE, Mr Andrew ;23 ;3rd Class Passenger ;
KEANE, Mr Daniel ;35 ;2nd Class Passenger ;
KEARL, Mr George Edward ;25 ;Engineering Crew ;
G. Kearl
KEARL, Mr Charles Henry ;44 ;Engineering Crew ;
KEEPING, Mr Edwin Herbert ;33 ;1st Class Passenger
Servant ;
KELLAND, Mr Thomas ;18 ;Victualling Crew ;
KELLY, Mr James ;19 ;3rd Class Passenger ;
KELLY, Mr William ;23 ;Engineering Crew ;
W. Kelly
KELLY, Mr James ;44 ;3rd Class Passenger ;
KELLY, Mr James ;44 ;Engineering Crew ;
KEMP, Mr Thomas Hulman ;43 ;Engineering Crew ;
T. Kemp
KENNELL, Mr Charles ;30 ;Victualling Crew ;
KENT, Mr Edward Austin ;58 ;1st Class Passenger ;
E. Kent
KENYON, Mr Frederick Roland ;41 ;1st Class Passenger ;
KENZLER, Mr August ;44 ;Engineering Crew ;
KERLEY, Mr William Thomas ;28 ;Victualling Crew ;
KERR, Mr Thomas Russell ;26 ;Engineering Crew ;
KETCHLEY, Mr Henry ;36 ;Victualling Crew ;
KHALIL, Mrs Zahie ;20 ;3rd Class Passenger ;
KHALIL, Mr Betros ;25 ;3rd Class Passenger ;
KHALīL 'ATTA ALLāH, Mr Sulaymān ;27 ;3rd Class Passenger ;
KIERAN, Mr Edgar Michael ;34 ;Victualling Crew ;
KIERAN, Mr James William ;35 ;Victualling Crew ;
J. Kieran
KIERNAN, Mr Philip ;22 ;3rd Class Passenger ;
KIERNAN, Mr John Joseph ;25 ;3rd Class Passenger ;
KILGANNON, Mr Thomas ;22 ;3rd Class Passenger ;
KINCHENTEN, Mr Frederick Charles ;36 ;Engineering Crew ;
KING, Mr Thomas Walter ;42 ;Deck Crew ;
KING, Mr Alfred John Moffett ;18 ;Victualling Crew ;
A. King
KING, Mr G. ;20 ;Victualling Crew ;
KING, Mr Ernest Waldron ;28 ;Victualling Crew ;
E. King
KINGSCOTE, Mr William Ford ;48 ;Victualling Crew ;
KINK, Miss Maria ;23 ;3rd Class Passenger ;
KINK, Mr Vincenz ;26 ;3rd Class Passenger ;
KINSELLA, Mr Louis ;30 ;Engineering Crew
Substitute Crew ;
KIRKALDY, Mr Thomas Benjamin ;36 ;Victualling Crew ;
KIRKHAM, Mr James ;43 ;Engineering Crew ;
KIRKLAND, Fr Charles Leonard ;52 ;2nd Class Passenger ;
C. Kirkland
KITCHING, Mr Arthur Alfred ;31 ;Victualling Crew ;
KLABER, Mr Herman ;41 ;1st Class Passenger ;
KLASéN, Mrs Hulda Kristina Eugenia ;36 ;3rd Class Passenger ;
KLASéN, Miss Gertrud Emilia ;1 ;3rd Class Passenger ;
KLASéN, Mr Klas Albin ;18 ;3rd Class Passenger ;
KLEIN, Mr Herbert ;34 ;Victualling Crew ;
KNIGHT, Mr Robert ;41 ;2nd Class Passenger
H&W Guarantee Group ;
KNIGHT, Mr Leonard George ;21 ;Victualling Crew ;
KRAEFF, Mr Theodor ;;3rd Class Passenger ;
KRINS, Mr Georges Alexandre ;23 ;2nd Class Passenger
Musician ;
G. Krins
KUTSCHER (LITHMAN), Mr Simon ;26 ;3rd Class Passenger ;
KVILLNER, Mr Johan Henrik Johannesson ;31 ;2nd Class Passenger ;
J. Kvillner
LACEY, Mr Bertie William ;20 ;Victualling Crew ;
LAHHūD ISHAQ MU'AWWAD, Mr Sarkīs ;35 ;3rd Class Passenger ;
LAHTINEN, Fr William ;35 ;2nd Class Passenger ;
LAHTINEN, Mrs Anna Amelia ;34 ;2nd Class Passenger ;
LAHY, Mr T. ;41 ;Engineering Crew ;
LAITINEN, Miss Kristina Sofia ;37 ;3rd Class Passenger ;
LAKE, Mr William ;46 ;Victualling Crew ;
LAM, Mr Len ;23 ;3rd Class Passenger ;
LAMB, Mr John J. ;31 ;2nd Class Passenger ;
LANE, Mr Patrick ;17 ;3rd Class Passenger ;
LANE, Mr Albert Edward ;34 ;Victualling Crew ;
LAROCHE, Mr Joseph Philippe Lemercier ;25 ;2nd Class Passenger ;
LARSSON, Mr August Viktor ;29 ;3rd Class Passenger ;
LARSSON, Mr Edvard ;22 ;3rd Class Passenger ;
LARSSON, Mr Bengt Edvin ;29 ;3rd Class Passenger ;
LATIMER, Mr Andrew ;55 ;Victualling Crew ;
A. Latimer
LAWRANCE, Mr Arthur ;36 ;Victualling Crew ;
LEADER, Mr Archibald ;22 ;Victualling Crew ;
LEE, Mr H. ;18 ;Engineering Crew ;
LEFEBVRE, Miss Mathilde ;12 ;3rd Class Passenger ;
LEFEBVRE, Miss Jeannie ;8 ;3rd Class Passenger ;
LEFEBVRE, Miss Ida ;3 ;3rd Class Passenger ;
LEFEBVRE, Master Henry ;5 ;3rd Class Passenger ;
LEFEBVRE, Mrs Frances Marie ;40 ;3rd Class Passenger ;
F. Lefebvre
LEFEBVRE, Mr Paul Georges ;35 ;Victualling Crew ;
LEINONEN, Mr Antti Gustaf ;32 ;3rd Class Passenger ;
LENNON, Mr Denis ;20 ;3rd Class Passenger ;
LEONARD, Mr Matthew ;25 ;Victualling Crew ;
LESTER, Mr James ;41 ;3rd Class Passenger ;
LEVETT, Mr George Alfred ;26 ;Victualling Crew ;
LéVY, Mr René Jacques ;37 ;2nd Class Passenger ;
R. Lévy
LEWY, Mr Ervin G. ;30 ;1st Class Passenger ;
LEYSON, Mr Robert William Norman ;25 ;2nd Class Passenger ;
LIEVENS, Mr René Aimé ;24 ;3rd Class Passenger ;
LIGHT, Mr W. ;47 ;Engineering Crew ;
LIGHT, Mr Charles Edward ;24 ;Victualling Crew ;
LIGHT, Mr Christopher William ;20 ;Engineering Crew ;
LINDAHL, Miss Agda Thorilda Viktoria ;25 ;3rd Class Passenger ;
LINDBLOM, Miss Augusta Charlotta ;45 ;3rd Class Passenger ;
LINDELL, Mrs Elin Gerda ;30 ;3rd Class Passenger ;
E. Lindell
LINDELL, Mr Edvard Bengtsson ;36 ;3rd Class Passenger ;
E. Lindell
LINEHAN, Mr Michael ;21 ;3rd Class Passenger ;
LING, Mr Lee ;28 ;3rd Class Passenger ;
LINGANE, Mr John ;61 ;2nd Class Passenger ;
LINHART, Mr Wenzel ;28 ;3rd Class Passenger ;
LIVSHIN, Mr David ;25 ;3rd Class Passenger ;
LLOYD, Mr William ;29 ;Engineering Crew
Substitute Crew ;
LLOYD, Mr Humphrey ;41 ;Victualling Crew ;
LOBB, Mrs Cordelia ;34 ;3rd Class Passenger ;
LOBB, Mr William Arthur ;31 ;3rd Class Passenger ;
LOCKE, Mr Albert George ;33 ;Victualling Crew
Substitute Crew ;
LOCKYER, Mr Edward Thomas ;19 ;3rd Class Passenger ;
LONG, Mr Milton Clyde ;29 ;1st Class Passenger ;
LONG, Mr William ;36 ;Engineering Crew ;
LONG, Mr Frank ;31 ;Engineering Crew ;
F. Long
LONGMUIR, Mr John Dickson ;20 ;Victualling Crew ;
LORING, Mr Joseph Holland ;30 ;1st Class Passenger ;
J. Loring
