Name;Age;Class;
LAROCHE, Miss Louise ;1 ;2nd Class Passenger ;
LAROCHE, Mrs Juliette Marie Louise ;22 ;2nd Class Passenger ;
LAVINGTON, Miss Elizabeth ;40 ;Victualling Crew ;
LEADER, Dr Alice May ;49 ;1st Class Passenger ;
A. Leader
LEATHER, Mrs Elizabeth Mary ;50 ;Victualling Crew ;
LEE, Mr Reginald Robinson ;41 ;Deck Crew ;
R. Lee
LEE, Mr Henry Reginald ;29 ;Victualling Crew ;
LEHMANN, Miss Bertha ;17 ;2nd Class Passenger ;
B. Lehmann
LEITCH, Miss Jessie Wills ;31 ;2nd Class Passenger ;
LEMORE, Mrs Amelia ;39 ;2nd Class Passenger ;
A. Lemore
LEROY, Miss Berthe ;27 ;1st Class Passenger
Servant ;
B. Leroy
LESUEUR, Mr Gustave J. ;35 ;1st Class Passenger
Servant ;
LEWIS, Mr Arthur Ernest Read ;27 ;Victualling Crew ;
A. Lewis
LIGHTOLLER, Mr Charles Herbert ;38 ;Deck Crew
Titanic Officers ;
C. Lightoller
LINDQVIST, Mr Eino William ;20 ;3rd Class Passenger ;
LINDSAY, Mr William Charles ;30 ;Engineering Crew ;
W. Lindsay
LINDSTRöM, Mrs Sigrid ;55 ;1st Class Passenger ;
LINES, Miss Mary Conover ;16 ;1st Class Passenger ;
M. Lines
LINES, Mrs Elizabeth Lindsey ;50 ;1st Class Passenger ;
E. Lines
LITTLEJOHN, Mr Alexander James ;40 ;Victualling Crew ;
LONGLEY, Miss Gretchen Fiske ;21 ;1st Class Passenger ;
G. Longley
LOUCH, Mrs Alice Adelaide ;43 ;2nd Class Passenger ;
LOWE, Mr Harold Godfrey ;29 ;Deck Crew
Titanic Officers ;
H. Lowe
LUCAS, Mr William Watson ;31 ;Victualling Crew ;
W. Lucas
LUCAS, Mr William Arthur ;25 ;Deck Crew ;
W. Lucas
LULIC, Mr Nikola ;29 ;3rd Class Passenger ;
N. Lulic
LUNDIN, Miss Olga Elida ;23 ;3rd Class Passenger ;
O. Lundin
LUNDSTRöM, Mr Thure Edvin ;32 ;3rd Class Passenger ;
LURETTE, Miss Eugénie Elise ;59 ;1st Class Passenger
Servant ;
E. Lurette
MADIGAN, Miss Margaret ;21 ;3rd Class Passenger ;
M. Madigan
MADILL, Miss Georgette Alexandra ;16 ;1st Class Passenger ;
G. Madill
MADSEN, Mr Fridtjof Arne ;24 ;3rd Class Passenger ;
MAIONI, Miss Roberta Elizabeth Mary ;20 ;1st Class Passenger
Servant ;
R. Maioni
MAJOR, Mr William James ;32 ;Engineering Crew ;
W. Major
MALLET, Master André Clement ;1 ;2nd Class Passenger ;
A. Mallet
MALLET, Mrs Antonine Marie ;24 ;2nd Class Passenger ;
MāMā, Mr Hannā Mikā'īl ;18 ;3rd Class Passenger ;
MANNION, Miss Margaret ;28 ;3rd Class Passenger ;
MARéCHAL, Mr Pierre ;29 ;1st Class Passenger ;
P. Maréchal
MARSDEN, Miss Evelyn ;28 ;Victualling Crew ;
E. Marsden
MARTIN, Miss Mabel Elvina ;20 ;Restaurant Staff ;
MARTIN, Miss Virginia Ethel ;6 ;3rd Class Passenger ;
MARTIN, Mrs Annie Martha ;39 ;Victualling Crew ;
A. Martin
MARVIN, Mrs Mary Graham Carmichael ;18 ;1st Class Passenger ;
M. Marvin
MASON, Mr Frank Archibald Robert ;32 ;Engineering Crew ;
F. Mason
MAUGE, Mr Paul Achille Maurice Germain ;25 ;Restaurant Staff ;
P. Mauge
MAYNARD, Mr Isaac Hiram ;31 ;Victualling Crew ;
I. Maynard
MAYNé, Mlle Berthe Antonine ;24 ;1st Class Passenger ;
B. Mayné
MAYZES, Mr Thomas Jubilee ;25 ;Engineering Crew ;
T. Mayzes
MCCARTHY, Miss Catherine ;25 ;3rd Class Passenger ;
MCCARTHY, Mr William ;48 ;Deck Crew ;
W. McCarthy
MCCORMACK, Mr Thomas Joseph ;19 ;3rd Class Passenger ;
MCCOY, Miss Alice ;26 ;3rd Class Passenger ;
MCCOY, Miss Agnes ;29 ;3rd Class Passenger ;
MCCOY, Mr Bernard ;24 ;3rd Class Passenger ;
B. McCoy
MCDERMOTT, Miss Bridget Delia ;31 ;3rd Class Passenger ;
MCGANN, Mr James ;29 ;Engineering Crew ;
MCGOUGH, Mr James Robert ;35 ;1st Class Passenger ;
J. McGough
MCGOUGH, Mr George Francis 'Paddy' ;36 ;Deck Crew ;
G. McGough
MCGOVERN, Ms Mary ;22 ;3rd Class Passenger ;
MCGOWAN, Miss Anna Louise ;17 ;3rd Class Passenger ;
MCINTYRE, Mr William ;21 ;Engineering Crew ;
W. McIntyre
MCKAY, Mr Charles Donald ;30 ;Victualling Crew ;
C. McKay
MCLAREN, Mrs Hypatia ;43 ;Victualling Crew ;
H. McLaren
MCMICKEN, Mr Arthur ;26 ;Victualling Crew ;
A. McMicken
MELLINGER, Miss Violet Madeline ;13 ;2nd Class Passenger ;
MELLINGER, Mrs Elizabeth Anne ;42 ;2nd Class Passenger ;
MELLORS, Mr William John ;19 ;2nd Class Passenger ;
W. Mellors
MEYER, Mrs Leila ;25 ;1st Class Passenger ;
L. Meyer
MIDTSJø, Mr Karl Albert ;21 ;3rd Class Passenger ;
MILLS, Mr Christopher ;51 ;Victualling Crew ;
C. Mills
MINAHAN, Miss Ida Daisy ;33 ;1st Class Passenger ;
MINAHAN, Mrs Lillian Mae ;37 ;1st Class Passenger ;
MOCK, Mr Philipp Edmund ;30 ;1st Class Passenger ;
P. Mock
MOCKLER, Miss Ellen Mary ;23 ;3rd Class Passenger ;
MOOR, Mrs Beila ;29 ;3rd Class Passenger ;
MOOR, Master Meier ;7 ;3rd Class Passenger ;
MOORE, Mr George Alfred ;32 ;Deck Crew ;
G. Moore
MOORE, Mr John J. ;29 ;Engineering Crew ;
MORAN, Miss Bridget ;28 ;3rd Class Passenger ;
MORRIS, Mr Frank Herbert ;28 ;Victualling Crew ;
MOSS, Mr Albert Johan ;29 ;3rd Class Passenger ;
A. Moss
MOUSSA, Mrs Mantoura Boulos ;35 ;3rd Class Passenger ;
MUBāRIK, Master Halīm ;4 ;3rd Class Passenger ;
MUBāRIK, Master Jirjis ;7 ;3rd Class Passenger ;
MUBāRIK, Mrs Amīnah ;25 ;3rd Class Passenger ;
MULLIN, Miss Catherine ;21 ;3rd Class Passenger ;
MULVIHILL, Miss Bridget Elizabeth ;25 ;3rd Class Passenger ;
B. Mulvihill
MURDOCK, Mr William John ;37 ;Engineering Crew ;
W. Murdock
MURPHY, Miss Catherine ;18 ;3rd Class Passenger ;
MURPHY, Miss Margaret Jane ;25 ;3rd Class Passenger ;
MURPHY, Miss Nora ;31 ;3rd Class Passenger ;
MUSLAMāNī, Mrs Fatīmah Muhammad ;22 ;3rd Class Passenger ;
NAJīB QIYāMAH, Miss Adāl ;15 ;3rd Class Passenger ;
NAKID, Miss Mariayam ;1 ;3rd Class Passenger ;
NAKID, Mrs Wadi'ah ;19 ;3rd Class Passenger ;
NAKID, Mr Sa'īd Antūn ;20 ;3rd Class Passenger ;
NAṣR ALLāH, Mrs Adāl ;17 ;2nd Class Passenger ;
NAVRATIL, Master Michel Marcel ;3 ;2nd Class Passenger ;
M. Navratil
NAVRATIL, Master Edmond Roger ;2 ;2nd Class Passenger ;
E. Navratil
NEAL, Mr Bentley Harold ;25 ;Victualling Crew ;
B. Neal
NEWELL, Miss Madeleine ;31 ;1st Class Passenger ;
M. Newell
NEWELL, Miss Marjorie Anne ;23 ;1st Class Passenger ;
M. Newell
NEWSOM, Miss Helen Monypeny ;19 ;1st Class Passenger ;
NICHOLS, Mr Walter Henry ;35 ;Victualling Crew ;
W. Nichols
NILSSON, Miss Berta Olivia ;18 ;3rd Class Passenger ;
NILSSON, Miss Helmina Josefina ;26 ;3rd Class Passenger ;
H. Nilsson
NīQūLA YāRID, Master Ilyās ;11 ;3rd Class Passenger ;
NīQūLA YāRID, Miss Jamilah ;14 ;3rd Class Passenger ;
NISKäNEN, Mr Juha ;39 ;3rd Class Passenger ;
NOSS, Mr Henry ;30 ;Engineering Crew ;
H. Noss
NOURNEY, Mr Alfred ;20 ;1st Class Passenger ;
A. Nourney
NUTBEAN, Mr William ;30 ;Engineering Crew ;
W. Nutbean
NYE, Mrs Elizabeth ;29 ;2nd Class Passenger ;
E. Nye
NYSTEN, Miss Anna Sofia ;22 ;3rd Class Passenger ;
A. Nysten
O'BRIEN, Mrs Hannah ;27 ;3rd Class Passenger ;
O'CONNOR, Mr John ;29 ;Engineering Crew
Substitute Crew ;
O'DWYER, Miss Ellen ;24 ;3rd Class Passenger ;
O'KEEFFE, Mr Patrick ;21 ;3rd Class Passenger ;
O'LEARY, Miss Hanora ;16 ;3rd Class Passenger ;
ÖHMAN, Miss Velin Matilda ;22 ;3rd Class Passenger ;
OLIVA Y OCANA, DoÃ±a Fermina ;39 ;1st Class Passenger
Servant ;
OLIVER, Mr Harry ;41 ;Engineering Crew ;
OLLIVER, Mr Alfred John ;27 ;Deck Crew ;
OLSEN, Master Artur Karl ;9 ;3rd Class Passenger ;
OLSSON, Mr Oscar Wilhelm ;32 ;3rd Class Passenger ;
OMONT, Mr Alfred Fernand ;29 ;1st Class Passenger ;
OSMAN, Mr Frank ;27 ;Deck Crew ;
F. Osman
OTHEN, Mr Charles Alfred ;36 ;Engineering Crew ;
OXENHAM, Mr Percy Thomas ;22 ;2nd Class Passenger ;
PADRON MANENT, Mr Julian ;27 ;2nd Class Passenger ;
PALLàS I CASTELLó, Sr. Emili ;29 ;2nd Class Passenger ;
PARRISH, Mrs Lutie Davis ;59 ;2nd Class Passenger ;
PASCOE, Mr Charles H. ;45 ;Deck Crew ;
C. Pascoe
PEARCE, Mr John ;33 ;Engineering Crew ;
PEARCEY, Mr Albert Victor ;25 ;Victualling Crew ;
A. Pearcey
PEARS, Mrs Edith ;22 ;1st Class Passenger ;
E. Pears
PELHAM, Mr George ;39 ;Engineering Crew ;
G. Pelham
PEñASCO Y CASTELLANA, Mrs Maria Josefa Perezde Soto y Vallejo ;22 ;1st Class Passenger ;
PERKIS, Mr Walter John ;37 ;Deck Crew ;
W. Perkis
PERREAULT, Miss Mary Anne ;33 ;1st Class Passenger
Servant ;
M. Perreault
PERRY, Mr Edgar Lionel ;19 ;Engineering Crew ;
E. Perry
PERSSON, Mr Ernst Ulrik ;25 ;3rd Class Passenger ;
PETERS, Mr William Chapman ;26 ;Deck Crew ;
W. Peters
PEUCHEN, Major Arthur Godfrey ;52 ;1st Class Passenger ;
A. Peuchen
PFROPPER, Mr Richard Paul Jozef ;30 ;Victualling Crew ;
PHILLIMORE, Mr Harold Charles William ;23 ;Victualling Crew ;
H. Phillimore
PHILLIPS, Miss Kate Florence ;19 ;2nd Class Passenger ;
K. Phillips
PHILLIPS, Miss Alice Frances Louisa ;21 ;2nd Class Passenger ;
A. Phillips
PICARD, Mr Benoît ;33 ;3rd Class Passenger ;
PINSKY, Mrs Rosa ;32 ;2nd Class Passenger ;
PITMAN, Mr Herbert John ;34 ;Deck Crew
Titanic Officers ;
H. Pitman
PODESTA, Mr Alfred John Alexander ;24 ;Engineering Crew ;
A. Podesta
POINGDESTRE, Mr John Thomas ;27 ;Deck Crew ;
J. Poingdestre
PORT, Mr Frank ;22 ;Victualling Crew ;
F. Port
PORTALUPPI, Mr Emilio Ilario Giuseppe ;30 ;2nd Class Passenger ;
E. Portaluppi
POTTER, Mrs Lily Alexenia ;56 ;1st Class Passenger ;
L. Potter
PRANGNELL, Mr George Alexander ;30 ;Engineering Crew ;
G. Prangnell
PRENTICE, Mr Frank Winnold ;23 ;Victualling Crew ;
F. Prentice
PRICHARD, Mrs Alice Maud ;36 ;Victualling Crew ;
A. Prichard
PRIEST, Mr Arthur John ;24 ;Engineering Crew ;
A. Priest
PRIOR, Mr Harold John Arnold ;20 ;Victualling Crew ;
H. Prior
PUGH, Mr Alfred ;20 ;Victualling Crew ;
A. Pugh
PUSEY, Mr William Robert Holland ;22 ;Engineering Crew ;
QUICK, Miss Phyllis May ;2 ;2nd Class Passenger ;
QUICK, Miss Winifred Vera ;8 ;2nd Class Passenger ;
QUICK, Mrs Jane ;33 ;2nd Class Passenger ;
RANGER, Mr Thomas ;29 ;Engineering Crew ;
T. Ranger
RAY, Mr Frederick Dent ;32 ;Victualling Crew ;
RENOUF, Mrs Lillian ;30 ;2nd Class Passenger ;
REYNALDS, Sra. Encarnación ;29 ;2nd Class Passenger ;
RHEIMS, Mr George Alexander Lucien ;33 ;1st Class Passenger ;
G. Rheims
RICE, Mr Charles John ;32 ;Engineering Crew ;
C. Rice
RICHARDS, Master Sibley George ;9 m ;2nd Class Passenger ;
RICHARDS, Master William Rowe ;3 ;2nd Class Passenger ;
W. Richards
RICHARDS, Mrs Emily ;24 ;2nd Class Passenger ;
RIDSDALE, Miss Lucy ;58 ;2nd Class Passenger ;
RIORDAN, Miss Hannah ;22 ;3rd Class Passenger ;
ROBERT, Mrs Elisabeth Walton ;43 ;1st Class Passenger ;
E. Robert
ROBERTS, Mrs Mary Kezia ;41 ;Victualling Crew ;
M. Roberts
ROBINSON, Mrs Annie ;41 ;Victualling Crew ;
A. Robinson
ROMAINE, Mr Charles Hallace ;45 ;1st Class Passenger ;
C. Romaine
ROSENBAUM, Miss Edith Louise ;32 ;1st Class Passenger ;
E. Rosenbaum
ROSS, Mr Horace Leopold ;36 ;Victualling Crew ;
H. Ross
ROTH, Miss Sarah ;26 ;3rd Class Passenger ;
ROTHES, Lucy Noël Martha, Countess of ;33 ;1st Class Passenger ;
L. Rothes
ROTHSCHILD, Mrs Elizabeth Jane Anne ;54 ;1st Class Passenger ;
E. Rothschild
ROWE, Mr George Thomas ;31 ;Deck Crew ;
RUGG, Miss Emily ;22 ;2nd Class Passenger ;
RULE, Mr Samuel James ;58 ;Victualling Crew ;
RYAN, Mr Edward ;24 ;3rd Class Passenger ;
E. Ryan
RYERSON, Mrs Emily Maria ;48 ;1st Class Passenger ;
E. Ryerson
RYERSON, Master John Borie ;13 ;1st Class Passenger ;
J. Ryerson
RYERSON, Mr William Edwy ;33 ;Victualling Crew ;
RYERSON, Miss Susan Parker ;21 ;1st Class Passenger ;
S. Ryerson
RYERSON, Miss Emily Borie ;18 ;1st Class Passenger ;
SAALFELD, Mr Adolphe ;47 ;1st Class Passenger ;
A. Saalfeld
SäGESSER, Mlle Emma ;24 ;1st Class Passenger
Servant ;
E. Sägesser
SALKJELSVIK, Miss Anna Kristine ;21 ;3rd Class Passenger ;
SALOMON, Mr Abraham Lincoln ;43 ;1st Class Passenger ;
A. Salomon
SANDSTRöM, Miss Marguerite Rut ;4 ;3rd Class Passenger ;
SANDSTRöM, Miss Beatrice Irene ;1 ;3rd Class Passenger ;
SANDSTRöM, Mrs Agnes Charlotta ;24 ;3rd Class Passenger ;
SAP, Mr Julius ;21 ;3rd Class Passenger ;
SAVAGE, Mr Charles Joseph ;23 ;Victualling Crew ;
C. Savage
SCARROTT, Mr Joseph George ;33 ;Deck Crew ;
J. Scarrott
SCHABERT, Mrs Emma ;35 ;1st Class Passenger ;
E. Schabert
SCHEERLINCK, Mr Jean ;29 ;3rd Class Passenger ;
SCOTT, Mr Frederick William ;28 ;Engineering Crew ;
SELF, Mr Albert Charles Edward ;24 ;Engineering Crew ;
A. Self
SENIOR, Mr Harry ;31 ;Engineering Crew ;
H. Senior
SERREPLAà, Miss Augusta Jeanne ;30 ;1st Class Passenger
Servant ;
SEWARD, Mr Wilfred Deable ;25 ;Victualling Crew ;
W. Seward
SEWARD, Mr Frederic Kimber ;34 ;1st Class Passenger ;
F. Seward
SHEATH, Mr Frederick ;20 ;Engineering Crew ;
SHELLEY, Mrs Imanita Parrish ;25 ;2nd Class Passenger ;
I. Shelley
SHIERS, Mr Alfred Charles ;25 ;Engineering Crew ;
A. Shiers
SHINE, Miss Ellen ;20 ;3rd Class Passenger ;
SHULVER, Mr Christopher Arthur ;28 ;Engineering Crew ;
C. Shulver
SHUTES, Miss Elizabeth Weed ;40 ;1st Class Passenger
Servant ;
E. Shutes
SILVéN, Miss Lyyli Karoliina ;17 ;2nd Class Passenger ;
L. Silvén
SILVERTHORNE, Mr Spencer Victor ;35 ;1st Class Passenger ;
SILVEY, Mrs Alice Gray ;39 ;1st Class Passenger ;
SIMMONS, Mr Andrew George James ;31 ;Victualling Crew ;
A. Simmons
SIMONIUS-BLUMER, Mr Colonel (Oberst) Alfons ;56 ;1st Class Passenger ;
C. Simonius-Blumer
SINCOCK, Miss Maude ;20 ;2nd Class Passenger ;
M. Sincock
SINKKONEN, Miss Anna ;30 ;2nd Class Passenger ;
A. Sinkkonen
SJöBLOM, Miss Anna Sofia ;18 ;3rd Class Passenger ;
SLAYTER, Miss Hilda Mary ;30 ;2nd Class Passenger ;
H. Slayter
SLOAN, Miss Mary ;28 ;Victualling Crew ;
M. Sloan
SLOCOMBE, Mrs Maude Louise ;30 ;Victualling Crew ;
M. Slocombe
SLOPER, Mr William Thompson ;28 ;1st Class Passenger ;
W. Sloper
SMITH, Miss Marion Elsie ;49 ;2nd Class Passenger ;
SMITH, Mrs Mary Eloise ;18 ;1st Class Passenger ;
M. Smith
SMITH, Miss Katherine Elizabeth ;45 ;Victualling Crew ;
SMYTH, Miss Julia ;18 ;3rd Class Passenger ;
SNOW, Mr Eustace Philip ;21 ;Engineering Crew ;
E. Snow
SNYDER, Mrs Nelle ;23 ;1st Class Passenger ;
N. Snyder
SNYDER, Mr John Pillsbury ;24 ;1st Class Passenger ;
SPARKMAN, Mr Henry William ;36 ;Engineering Crew ;
SPEDDEN, Master Robert Douglas ;6 ;1st Class Passenger ;
R. Spedden
SPEDDEN, Mrs Margaretta Corning ;39 ;1st Class Passenger ;
M. Spedden
SPEDDEN, Mr Frederic Oakley ;45 ;1st Class Passenger ;
F. Spedden
SPENCER, Mrs Marie Eugenie ;48 ;1st Class Passenger ;
STäHELIN-MAEGLIN, Dr Max ;32 ;1st Class Passenger ;
M. Stähelin-Maeglin
STANLEY, Miss Amy Zillah Elsie ;24 ;3rd Class Passenger ;
A. Stanley
STAP, Miss Sarah Agnes ;47 ;Victualling Crew ;
STENGEL, Mrs Annie May ;43 ;1st Class Passenger ;
A. Stengel
STENGEL, Mr Charles Emil Henry ;54 ;1st Class Passenger ;
C. Stengel
STEPHENSON, Mrs Martha ;52 ;1st Class Passenger ;
STEWART, Mr John ;28 ;Victualling Crew ;
STONE, Mrs Martha Evelyn ;61 ;1st Class Passenger ;
M. Stone
STRANDéN, Mr Juho Niilosson ;30 ;3rd Class Passenger ;
STREET, Mr Thomas Albert ;25 ;Engineering Crew ;
T. Street
SUNDERLAND, Mr Victor Francis ;20 ;3rd Class Passenger ;
SUNDMAN, Mr Johan Julian ;44 ;3rd Class Passenger ;
SVENSSON, Mr Johan Cervin ;14 ;3rd Class Passenger ;
SWIFT, Mrs Margaret Welles ;46 ;1st Class Passenger ;
M. Swift
SYMONS, Mr George Thomas Macdonald ;24 ;Deck Crew ;
G. Symons
TANNūS, Master As'ad ;5 m ;3rd Class Passenger ;
TANNūS, Mrs Thamīn ;16 ;3rd Class Passenger ;
TAUSSIG, Miss Ruth ;18 ;1st Class Passenger ;
TAUSSIG, Mrs Tillie ;39 ;1st Class Passenger ;
T. Taussig
TAYLOR, Mr William Henry ;28 ;Engineering Crew ;
W. Taylor
TAYLOR, Mr George ;24 ;Engineering Crew ;
G. Taylor
TAYLOR, Mrs Juliet Cummins ;49 ;1st Class Passenger ;
J. Taylor
TAYLOR, Mr Elmer Zebley ;48 ;1st Class Passenger ;
E. Taylor
TENGLIN, Mr Gunnar Isidor ;25 ;3rd Class Passenger ;
TERRILL, Mr Frank ;27 ;Victualling Crew ;
F. Terrill
THAYER, Mr John Borland ;17 ;1st Class Passenger ;
J. Thayer
THAYER, Mrs Marian Longstreth ;39 ;1st Class Passenger ;
M. Thayer
THEISSINGER, Mr Alfred ;46 ;Victualling Crew ;
THOMAS, Mr Benjamin James ;30 ;Victualling Crew ;
THOMAS, Mr Albert Charles ;23 ;Victualling Crew ;
A. Thomas
THOMPSON, Mr John William ;35 ;Engineering Crew ;
J. Thompson
THORNE, Miss Gertrude Maybelle ;37 ;1st Class Passenger ;
G. Thorne
THORNEYCROFT, Mrs Florence Kate ;33 ;3rd Class Passenger ;
THRELFALL, Mr Thomas ;44 ;Engineering Crew ;
T. Threlfall
THRESHER, Mr George Terrill ;25 ;Engineering Crew ;
G. Thresher
TOMS, Mr Fred ;29 ;Victualling Crew ;
TOOMEY, Miss Ellen Mary ;50 ;2nd Class Passenger ;
TöRNQUIST, Mr William Henry ;26 ;3rd Class Passenger ;
TRIGGS, Mr Robert ;41 ;Engineering Crew ;
TROUT, Mrs Jessie Laird ;27 ;2nd Class Passenger ;
TROUTT, Miss Edwina Celia ;27 ;2nd Class Passenger ;
E. Troutt
TU'MAH, Mrs Hinnah ;27 ;3rd Class Passenger ;
TU'MAH, Master Jirjis Yūsuf ;8 ;3rd Class Passenger ;
TU'MAH, Miss Mariyam ;9 ;3rd Class Passenger ;
TUCKER, Mr Gilbert Milligan jr ;31 ;1st Class Passenger ;
G. Tucker
TURJA, Miss Anna Sofia ;18 ;3rd Class Passenger ;
A. Turja
TURKULA, Mrs Hedwig ;64 ;3rd Class Passenger ;
VARTANIAN, Mr David ;22 ;3rd Class Passenger ;
VIGOTT, Mr Philip Francis ;32 ;Deck Crew ;
P. Vigott
WALLCROFT, Miss Ellen 'Nellie' ;36 ;2nd Class Passenger ;
E. Wallcroft
WARD, Miss Annie Moore ;37 ;1st Class Passenger
Servant ;
A. Ward
WARD, Mr William ;37 ;Victualling Crew ;
WARE, Mrs Florence Louise ;32 ;2nd Class Passenger ;
WARREN, Mrs Anna Sophia ;60 ;1st Class Passenger ;
A. Warren
WATT, Mrs Elizabeth ;40 ;2nd Class Passenger ;
WATT, Miss Robertha Josephine ;12 ;2nd Class Passenger ;
WEBBER, Miss Susan ;38 ;2nd Class Passenger ;
WEIKMAN, Mr Augustus Henry ;52 ;Victualling Crew ;
A. Weikman
WEISZ, Mrs Mathilde Françoise ;37 ;2nd Class Passenger ;
M. Weisz
WELLER, Mr William Clifford ;30 ;Deck Crew ;
W. Weller
WELLS, Master Ralph Lester ;2 ;2nd Class Passenger ;
WELLS, Miss Joan ;4 ;2nd Class Passenger ;
J. Wells
WELLS, Mrs Addie Dart ;29 ;2nd Class Passenger ;
A. Wells
WENNERSTRöM, Mr August ;27 ;3rd Class Passenger ;
A. Wennerström
WEST, Mrs Ada Mary ;33 ;2nd Class Passenger ;
WEST, Miss Barbara Joyce ;10 m ;2nd Class Passenger ;
WEST, Miss Constance Miriam ;4 ;2nd Class Passenger ;
WHEAT, Mr Joseph Thomas ;30 ;Victualling Crew ;
J. Wheat
WHEELTON, Mr Edenser Edward ;28 ;Victualling Crew ;
E. Wheelton
WHILEMS, Mr Charles ;31 ;2nd Class Passenger ;
WHITE, Mr William George ;23 ;Engineering Crew ;
W. White
WHITE, Mr Alfred ;32 ;Engineering Crew ;
A. White
WHITE, Mrs Ella ;55 ;1st Class Passenger ;
E. White
WHITELEY, Mr Thomas Arthur ;18 ;Victualling Crew ;
T. Whiteley
WICK, Mrs Mary Peebles ;45 ;1st Class Passenger ;
M. Wick
WICK, Miss Mary Natalie ;31 ;1st Class Passenger ;
M. Wick
WIDENER, Mrs Eleanor ;50 ;1st Class Passenger ;
E. Widener
WIDGERY, Mr Isaac George ;37 ;Victualling Crew ;
WILKES, Mrs Ellen ;47 ;3rd Class Passenger ;
WILKINSON, Mrs Elizabeth Anne ;30 ;2nd Class Passenger ;
WILLARD, Miss Constance ;21 ;1st Class Passenger ;
C. Willard
WILLIAMS, Mr Charles Eugene ;23 ;2nd Class Passenger ;
WILLIAMS, Mr Richard Norris II ;21 ;1st Class Passenger ;
R. Williams
WILLIAMS, Mr Walter John ;28 ;Victualling Crew ;
W. Williams
WILSON, Miss Helen Alice ;31 ;1st Class Passenger
Servant ;
WINDEBANK, Mr Alfred Edgar ;38 ;Victualling Crew
Substitute Crew ;
A. Windebank
WITTER, Mr James William Cheetham ;31 ;Victualling Crew ;
J. Witter
WOOLNER, Mr Hugh ;45 ;1st Class Passenger ;
WRIGHT, Mr William ;47 ;Victualling Crew ;
W. Wright
WRIGHT, Miss Marion ;26 ;2nd Class Passenger ;
WYNN, Mr William ;41 ;Deck Crew ;
W. Wynn
YAZBAK, Mrs Sīlānah Iskandar Nāsīf Abī Dāghir ;15 ;3rd Class Passenger ;
S. Yazbak
YEARSLEY, Mr Harry ;40 ;Victualling Crew ;
YOUNG, Miss Marie Grice ;36 ;1st Class Passenger ;
M. Young
YūSUF, Mrs Kātrīn ;23 ;3rd Class Passenger ;
YūSUF, Miss Anna ;2 ;3rd Class Passenger ;
ØSTBY, Miss Helen Ragnhild ;22 ;1st Class Passenger ;
H. Østby
